Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-bugfix-safari-id-destructuring-collision-in-function-expression,7.27.1,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-bugfix-v8-spread-parameters-in-optional-chaining,7.27.1,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-bugfix-v8-static-class-fields-redefine-readonly,7.28.3,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-proposal-private-property-in-object,7.21.0-placeholder-for-preset-env.2,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-syntax-import-assertions,7.27.1,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-syntax-import-attributes,7.27.1,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-syntax-unicode-sets-regex,7.18.6,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-transform-arrow-functions,7.27.1,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-transform-async-generator-functions,7.28.0,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-transform-async-to-generator,7.27.1,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-transform-block-scoped-functions,7.27.1,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-transform-block-scoping,7.28.4,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-transform-class-properties,7.27.1,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-transform-class-static-block,7.28.3,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-transform-classes,7.28.4,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-transform-computed-properties,7.27.1,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-transform-destructuring,7.28.0,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-transform-dotall-regex,7.27.1,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-transform-duplicate-keys,7.27.1,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-transform-duplicate-named-capturing-groups-regex,7.27.1,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-transform-dynamic-import,7.27.1,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-transform-explicit-resource-management,7.28.0,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-transform-exponentiation-operator,7.27.1,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-transform-export-namespace-from,7.27.1,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-transform-for-of,7.27.1,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-transform-function-name,7.27.1,library,The Babel Team,MIT
