Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
jest,30.1.3,NA,NA,visitor-keys,8.38.0,library,NA,MIT
jest,30.1.3,NA,NA,eslint-visitor-keys,4.2.1,library,Toru Nagashima,Apache-2.0
jest,30.1.3,NA,NA,eslint-visitor-keys,3.4.3,library,Toru Nagashima,Apache-2.0
jest,30.1.3,NA,NA,project-service,8.38.0,library,NA,MIT
jest,30.1.3,NA,NA,tsconfig-utils,8.38.0,library,NA,MIT
jest,30.1.3,NA,NA,debug,4.4.1,library,Josh Junon,MIT
jest,30.1.3,NA,NA,fast-glob,3.3.3,library,Denis Malinochkin,MIT
jest,30.1.3,NA,NA,is-glob,4.0.3,library,Jon Schlinkert,MIT
jest,30.1.3,NA,NA,minimatch,9.0.5,library,Isaac Z. Schlueter,ISC
jest,30.1.3,NA,NA,ts-api-utils,2.1.0,library,JoshuaKGoldberg,MIT
jest,30.1.3,NA,NA,brace-expansion,2.0.2,library,Julian Gruber,MIT
jest,30.1.3,NA,NA,balanced-match,1.0.2,library,Julian Gruber,MIT
jest,30.1.3,NA,NA,is-extglob,2.1.1,library,Jon Schlinkert,MIT
jest,30.1.3,NA,NA,fs.stat,2.0.5,library,NA,MIT
jest,30.1.3,NA,NA,fs.walk,1.2.8,library,NA,MIT
jest,30.1.3,NA,NA,glob-parent,5.1.2,library,Gulp Team,ISC
jest,30.1.3,NA,NA,merge2,1.4.1,library,NA,MIT
jest,30.1.3,NA,NA,fs.scandir,2.1.5,library,NA,MIT
jest,30.1.3,NA,NA,fastq,1.19.1,library,Matteo Collina,ISC
jest,30.1.3,NA,NA,reusify,1.1.0,library,Matteo Collina,MIT
jest,30.1.3,NA,NA,run-parallel,1.2.0,library,Feross Aboukhadijeh,MIT
jest,30.1.3,NA,NA,queue-microtask,1.2.3,library,Feross Aboukhadijeh,MIT
jest,30.1.3,NA,NA,ms,2.1.3,library,NA,MIT
jest,30.1.3,NA,NA,regexpp,4.12.1,library,Toru Nagashima,MIT
jest,30.1.3,NA,NA,type-utils,8.38.0,library,NA,MIT
jest,30.1.3,NA,NA,graphemer,1.4.0,library,Matt Davies,MIT
jest,30.1.3,NA,NA,ignore,7.0.4,library,kael,MIT
jest,30.1.3,NA,NA,natural-compare,1.4.0,library,Lauri Rooden,MIT
jest,30.1.3,NA,NA,source-map-support,0.8.1,library,NA,MIT
jest,30.1.3,NA,NA,node10,1.0.11,library,NA,MIT
jest,30.1.3,NA,NA,node12,1.0.11,library,NA,MIT
jest,30.1.3,NA,NA,node14,1.0.3,library,NA,MIT
jest,30.1.3,NA,NA,node16,1.0.4,library,NA,MIT
jest,30.1.3,NA,NA,acorn-walk,8.3.4,library,NA,MIT
jest,30.1.3,NA,NA,arg,4.1.3,library,Josh Junon,MIT
jest,30.1.3,NA,NA,create-require,1.1.1,library,NA,MIT
jest,30.1.3,NA,NA,diff,4.0.2,library,NA,BSD-3-Clause
jest,30.1.3,NA,NA,make-error,1.3.6,library,Julien Fontanet,ISC
jest,30.1.3,NA,NA,v8-compile-cache-lib,3.0.1,library,Andrew Bradley,MIT
jest,30.1.3,NA,NA,yn,3.1.1,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,trace-mapping,0.3.9,library,Justin Ridgewell,MIT
jest,30.1.3,NA,NA,del,6.1.1,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,is-stream,2.0.1,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,temp-dir,2.0.0,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,type-fest,0.16.0,library,Sindre Sorhus,NA
jest,30.1.3,NA,NA,unique-string,2.0.0,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,crypto-random-string,2.0.0,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,globby,11.1.0,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,is-path-cwd,2.2.0,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,is-path-inside,3.0.3,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,p-map,4.0.0,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,rimraf,3.0.2,library,Isaac Z. Schlueter,ISC
jest,30.1.3,NA,NA,glob,7.2.3,library,Isaac Z. Schlueter,ISC
jest,30.1.3,NA,NA,fs.realpath,1.0.0,library,Isaac Z. Schlueter,ISC
jest,30.1.3,NA,NA,inflight,1.0.6,library,Isaac Z. Schlueter,ISC
jest,30.1.3,NA,NA,inherits,2.0.4,library,NA,ISC
jest,30.1.3,NA,NA,minimatch,3.1.2,library,Isaac Z. Schlueter,ISC
jest,30.1.3,NA,NA,once,1.4.0,library,Isaac Z. Schlueter,ISC
jest,30.1.3,NA,NA,path-is-absolute,1.0.1,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,wrappy,1.0.2,library,Isaac Z. Schlueter,ISC
jest,30.1.3,NA,NA,brace-expansion,1.1.12,library,Julian Gruber,MIT
jest,30.1.3,NA,NA,concat-map,0.0.1,library,James Halliday,MIT
jest,30.1.3,NA,NA,aggregate-error,3.1.0,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,clean-stack,2.2.0,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,indent-string,4.0.0,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,array-union,2.1.0,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,dir-glob,3.0.1,library,Kevin Mårtensson,MIT
jest,30.1.3,NA,NA,ignore,5.3.2,library,kael,MIT
jest,30.1.3,NA,NA,path-type,4.0.0,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,is-core-module,2.16.1,library,Jordan Harband,MIT
jest,30.1.3,NA,NA,path-parse,1.0.7,library,Javier Blanco,MIT
jest,30.1.3,NA,NA,supports-preserve-symlinks-flag,1.0.0,library,Jordan Harband,MIT
jest,30.1.3,NA,NA,hasown,2.0.2,library,Jordan Harband,MIT
jest,30.1.3,NA,NA,function-bind,1.1.2,library,Raynos,MIT
jest,30.1.3,NA,NA,normalize-package-data,2.4.4,library,NA,MIT
jest,30.1.3,NA,NA,normalize-package-data,2.5.0,library,Meryn Stol,BSD-2-Clause
jest,30.1.3,NA,NA,parse-json,5.2.0,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,type-fest,0.6.0,library,Sindre Sorhus,NA
jest,30.1.3,NA,NA,code-frame,7.27.1,library,The Babel Team,MIT
jest,30.1.3,NA,NA,error-ex,1.3.2,library,NA,MIT
jest,30.1.3,NA,NA,lines-and-columns,1.2.4,library,Brian Donovan,MIT
jest,30.1.3,NA,NA,is-arrayish,0.2.1,library,Qix,MIT
jest,30.1.3,NA,NA,helper-validator-identifier,7.27.1,library,The Babel Team,MIT
