Library Name,Library Version
trim-newlines,3.0.1
read-pkg,5.2.0
normalize-package-data,2.5.0
type-fest,0.6.0
hosted-git-info,2.8.9
semver,5.7.2
helper-numbers,1.13.2
helper-wasm-bytecode,1.13.2
helper-buffer,1.14.1
helper-wasm-section,1.14.1
wasm-gen,1.14.1
wasm-opt,1.14.1
wast-printer,1.14.1
helper-api-error,1.13.2
ieee754,1.13.2
leb128,1.13.2
utf8,1.13.2
caniuse-lite,1.0.30001741
electron-to-chromium,1.5.215
node-releases,2.0.20
update-browserslist-db,1.1.3
mime-db,1.52.0
ajv-formats,2.1.1
ajv-keywords,5.1.0
jest-worker,27.5.1
terser,5.44.0
commander,2.20.3
sourcemap-codec,1.5.5
resolve-uri,3.1.2
yallist,3.1.1
regexpu-core,6.2.0
helper-wrap-function,7.28.3
helper-member-expression-to-functions,7.27.1
helper-optimise-call-expression,7.27.1
lodash.debounce,4.0.8
file-type,5.2.0
tar-stream,1.6.2
seek-bzip,1.0.6
unbzip2-stream,1.4.3
get-stream,2.3.1
yauzl,2.10.0
is-natural-number,4.0.1
fs.stat,2.0.5
call-bind-apply-helpers,1.0.2
es-define-property,1.0.1
get-intrinsic,1.3.0
set-function-length,1.2.2
define-data-property,1.1.4
has-property-descriptors,1.0.2
object-keys,1.1.1
get-proto,1.0.1
safe-regex-test,1.1.0
available-typed-arrays,1.0.7
for-each,0.3.5
gopd,1.2.0
buffer-from,1.1.2
typedarray,0.0.6
combined-stream2,1.1.2
through2,0.5.1
readable-stream,1.0.34
isarray,0.0.1
string_decoder,0.10.31
psl,1.15.0
punycode,2.3.1
ansi-regex,2.1.1
osx-release,1.1.0
win-release,1.1.1
has-symbols,1.1.0
callsites,0.2.0
colors,1.0.3
abbrev,1.1.1
undici-types,7.10.0
tmp,0.0.33
duplexer,0.1.2
nth-check,2.1.1
safer-buffer,2.1.2
buffer-xor,1.0.3
des.js,1.1.0
brorand,1.1.0
hash.js,1.1.7
hmac-drbg,1.0.1
minimalistic-assert,1.0.1
minimalistic-crypto-utils,1.0.1
asn1.js,4.10.1
core-util-is,1.0.3
isarray,1.0.0
process-nextick-args,2.0.1
typed-array-buffer,1.0.3
unist,2.0.11
character-entities-legacy,1.1.4
character-reference-invalid,1.1.4
is-alphanumerical,1.0.4
is-decimal,1.0.4
is-hexadecimal,1.0.4
parent-module,1.0.1
callsites,3.1.0
resolve-from,4.0.0
run-parallel,1.2.0
reusify,1.1.0
color-convert,2.0.1
shebang-regex,3.0.0
isexe,2.0.0
flatted,3.3.3
keyv,4.5.4
p-locate,5.0.0
balanced-match,1.0.2
concat-map,0.0.1
es-errors,1.3.0
object-inspect,1.13.4
side-channel-list,1.0.0
side-channel-map,1.0.1
side-channel-weakmap,1.0.2
decode-named-character-reference,1.2.0
devlop,1.1.0
micromark-factory-destination,2.0.1
micromark-factory-label,2.0.1
micromark-factory-space,2.0.1
micromark-factory-title,2.0.1
micromark-factory-whitespace,2.0.1
micromark-util-character,2.1.1
micromark-util-chunked,2.0.1
micromark-util-classify-character,2.0.1
micromark-util-html-tag-name,2.0.1
micromark-util-normalize-identifier,2.0.1
micromark-util-resolve-all,2.0.1
micromark-util-subtokenize,2.1.0
micromark-util-symbol,2.0.1
micromark-util-sanitize-uri,2.0.1
katex,0.16.7
katex,0.16.22
commander,8.3.0
debug,4.1.12
micromark-util-combine-extensions,2.0.1
micromark-util-decode-numeric-character-reference,2.0.2
micromark-util-encode,2.0.1
fill-range,7.1.1
signal-exit,4.1.0
cliui,8.0.2
strip-ansi,7.1.2
ansi-regex,6.2.2
parseargs,0.11.0
is-fullwidth-code-point,3.0.0
agent-base,7.1.4
b4a,1.6.7
fast-fifo,1.3.2
streamx,2.22.1
buffer-crc32,0.2.13
pend,1.2.0
memory-pager,1.5.0
webidl-conversions,7.0.3
tr46,5.1.1
webidl-conversions,7.0.0
esprima,4.0.1
lodash.flattendeep,4.4.0
release-zalgo,1.0.0
is-typedarray,1.0.0
typedarray-to-buffer,3.1.5
wrappy,1.0.2
default-require-extensions,3.0.1
clean-stack,2.2.0
indent-string,4.0.0
assert-never,1.4.0
babel-walk,3.0.0-canary-5
is-promise,2.2.2
promise,7.3.1
is-core-module,2.16.1
path-parse,1.0.7
supports-preserve-symlinks-flag,1.0.0
is-regex,1.2.1
irregular-plurals,3.5.0
schemas,29.6.3
react-is,18.3.1
map-obj,4.3.0
quick-lru,4.0.1
arrify,1.0.1
is-plain-obj,1.1.0
kind-of,6.0.3
hosted-git-info,4.1.0
lru-cache,6.0.0
validate-npm-package-license,3.0.4
strip-indent,3.0.0
normalize-package-data,2.4.4
parse-json,5.2.0
floating-point-hex-parser,1.13.2
long,4.2.2
ieee754,1.2.0
merge-stream,2.0.0
source-map,0.3.11
source-map-support,0.5.21
regenerate-unicode-properties,10.2.0
regenerate,1.4.2
regjsgen,0.8.0
regjsparser,0.12.0
jsesc,3.0.2
unicode-match-property-ecmascript,2.0.0
unicode-match-property-value-ecmascript,2.2.0
bl,1.2.3
buffer-alloc,1.2.0
end-of-stream,1.4.5
fs-constants,1.0.0
xtend,4.0.2
pinkie-promise,2.0.1
fd-slicer,1.1.0
function-bind,1.1.2
es-object-atoms,1.1.1
hasown,2.0.2
math-intrinsics,1.1.0
dunder-proto,1.0.1
possible-typed-array-names,1.1.0
is-callable,1.2.7
pseudomap,1.0.2
os-tmpdir,1.0.2
is-alphabetical,1.0.4
queue-microtask,1.2.3
color-name,1.1.4
json-buffer,3.0.1
p-limit,3.1.0
character-entities,2.0.2
dequal,2.0.3
ms,2.1.0
to-regex-range,5.0.1
string-width,5.1.2
wrap-ansi,8.1.0
ansi-styles,6.2.3
bare-events,2.6.1
text-decoder,1.2.3
sprintf-js,1.0.3
es6-error,4.1.1
strip-bom,4.0.0
asap,2.0.6
typebox,0.27.8
spdx-correct,3.2.0
spdx-expression-parse,3.0.1
min-indent,1.0.1
error-ex,1.3.2
lines-and-columns,1.2.4
unicode-canonical-property-names-ecmascript,2.0.1
unicode-property-aliases-ecmascript,2.1.0
buffer-alloc-unsafe,1.1.0
buffer-fill,1.0.0
pinkie,2.0.4
yocto-queue,0.1.0
is-number,7.0.0
eastasianwidth,0.2.0
emoji-regex,9.2.2
p-try,2.2.0
spdx-license-ids,3.0.22
spdx-exceptions,2.5.0
is-arrayish,0.2.1
node,16.18.126
ava,3.15.0
c8,7.14.0
execa,6.1.0
log-update,5.0.1
cli-cursor,4.0.0
slice-ansi,5.0.0
restore-cursor,4.0.0
is-fullwidth-code-point,4.0.0
onetime,5.1.2
mimic-fn,2.1.0
matcha,0.7.0
tsd,0.19.1
xo,0.57.0
arrify,3.0.0
eslint-formatter-pretty,6.0.1
eslint,8.56.12
eslint-plugin-prettier,5.5.4
meow,13.2.0
ansi-escapes,6.2.1
chalk,5.6.2
log-symbols,6.0.0
plur,5.1.0
string-width,7.2.0
supports-hyperlinks,3.2.0
eslint,9.6.1
is-unicode-supported,1.3.0
emoji-regex,10.5.0
yoctodelay,2.0.0
react,2.0.0
acorn-walk,8.3.4
arrgv,1.0.2
arrify,2.0.1
chokidar,3.6.0
chunkd,2.0.1
ci-info,2.0.0
ci-parallel-vars,1.0.1
clean-yaml-object,0.1.0
cli-cursor,3.1.0
cli-truncate,2.1.0
code-excerpt,3.0.0
common-path-prefix,3.0.0
concordance,5.0.4
currently-unhandled,0.4.1
del,6.1.1
emittery,0.8.1
equal-length,1.0.1
figures,3.2.0
ignore-by-default,2.1.0
import-local,3.2.0
is-error,2.2.2
is-plain-object,5.0.0
is-promise,4.0.0
lodash,4.17.21
matcher,3.0.0
md5-hex,3.0.1
mem,8.1.1
ora,5.4.1
p-event,4.2.0
p-map,4.0.0
pkg-conf,3.1.0
find-up,3.0.0
locate-path,3.0.0
p-locate,3.0.0
path-exists,3.0.0
pretty-ms,7.0.1
resolve-cwd,3.0.0
stack-utils,2.0.6
escape-string-regexp,2.0.0
supertap,2.0.0
temp-dir,2.0.0
trim-off-newlines,1.0.3
update-notifier,5.1.0
yargs,16.2.0
v8-coverage,0.2.3
v8-to-istanbul,9.3.0
get-stream,6.0.1
human-signals,3.0.1
is-stream,3.0.0
npm-run-path,5.3.0
path-key,4.0.0
onetime,6.0.0
mimic-fn,4.0.0
strip-final-newline,3.0.0
ansi-escapes,5.0.0
electron,0.4.1
v8-argv,0.1.0
typescript,4.5.5
eslintrc,3.3.1
eslint-plugin,6.21.0
parser,6.21.0
cosmiconfig,8.3.6
define-lazy-prop,3.0.0
eslint-config-prettier,9.1.2
eslint-config-xo-typescript,2.1.1
eslint-config-xo,0.44.0
eslint-import-resolver-webpack,0.13.10
debug,3.2.7
resolve,2.0.0-next.5
eslint-plugin-ava,14.0.0
pkg-dir,5.0.0
eslint-plugin-eslint-comments,3.2.0
eslint-plugin-import,2.32.0
doctrine,2.1.0
eslint-plugin-n,16.6.2
eslint-plugin-no-use-extend-native,0.5.0
eslint-plugin-unicorn,51.0.1
ci-info,4.3.0
esm-utils,4.4.2
find-cache-dir,5.0.0
pkg-dir,7.0.0
find-up,6.3.0
locate-path,7.2.0
path-exists,5.0.0
p-locate,6.0.0
p-limit,4.0.0
yocto-queue,1.2.1
find-up-simple,1.0.1
get-stdin,9.0.0
get-tsconfig,4.10.1
lodash-es,4.17.21
open-editor,4.1.1
execa,5.1.1
human-signals,2.1.0
npm-run-path,4.0.1
strip-final-newline,2.0.0
prettier,3.6.2
to-absolute-glob,3.0.0
anymatch,3.1.3
fsevents,2.3.3
is-binary-path,2.1.0
normalize-path,3.0.0
readdirp,3.6.0
restore-cursor,3.1.0
slice-ansi,3.0.0
convert-to-spaces,1.0.2
date-time,3.1.0
fast-diff,1.3.0
js-string-escape,1.0.1
well-known-symbols,2.0.0
array-find-index,1.0.2
is-path-cwd,2.2.0
blueimp-md5,2.19.0
map-age-cleaner,0.1.3
mimic-fn,3.1.0
bl,4.1.0
cli-spinners,2.9.2
is-interactive,1.0.0
wcwidth,1.0.1
p-timeout,3.2.0
load-json-file,5.3.0
type-fest,0.3.1
parse-ms,2.1.0
serialize-error,7.0.1
type-fest,0.13.1
boxen,5.1.2
configstore,5.0.1
has-yarn,2.1.0
import-lazy,2.1.0
is-ci,2.0.0
