Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
axios,4.0.1,Kamil Mysliwiec,MIT,package-json-from-dist,1.0.0,library,Isaac Z. Schlueter,BlueOak-1.0.0
axios,4.0.1,Kamil Mysliwiec,MIT,core,7.27.4,library,The Babel Team,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,semver,6.3.1,library,GitHub Inc.,ISC
axios,4.0.1,Kamil Mysliwiec,MIT,transform,30.1.2,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,babel-jest,30.1.2,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,bs-logger,0.2.6,library,Huafu Gandon,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,fast-json-stable-stringify,2.1.0,library,James Halliday,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,handlebars,4.7.8,library,Yehuda Katz,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,jest-util,30.0.5,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,picomatch,4.0.2,library,Jon Schlinkert,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,json5,2.2.3,library,Aseem Kishore,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,lodash.memoize,4.1.2,library,John-David Dalton,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,make-error,1.3.6,library,Julien Fontanet,ISC
axios,4.0.1,Kamil Mysliwiec,MIT,type-fest,4.41.0,library,Sindre Sorhus,NA
axios,4.0.1,Kamil Mysliwiec,MIT,eslint-plugin,8.43.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,ignore,7.0.4,library,kael,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,parser,8.43.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,typescript-estree,8.43.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,minimatch,9.0.5,library,Isaac Z. Schlueter,ISC
axios,4.0.1,Kamil Mysliwiec,MIT,brace-expansion,2.0.2,library,Julian Gruber,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,utils,8.43.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,is-ignored,19.8.1,library,Mario Nebl,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,parse,19.8.1,library,Mario Nebl,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,rules,19.8.1,library,Mario Nebl,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,config-validator,19.8.1,library,Mario Nebl,MIT
