Library,Current Version,Latest Version,Status
schema,0.1.3,0.2.1,Update available (0.2.1)
caching-transform,4.0.0,4.0.0,Up-to-date
decamelize,1.2.0,6.0.1,Update available (6.0.1)
get-package-type,0.1.0,0.1.0,Up-to-date
istanbul-lib-coverage,3.2.2,3.2.2,Up-to-date
istanbul-lib-hook,3.0.0,3.0.0,Up-to-date
istanbul-lib-instrument,4.0.3,6.0.3,Update available (6.0.3)
istanbul-lib-processinfo,2.0.3,2.0.3,Up-to-date
uuid,8.3.2,13.0.0,Update available (13.0.0)
istanbul-lib-report,3.0.1,3.0.1,Up-to-date
make-dir,4.0.0,5.0.0,Update available (5.0.0)
istanbul-lib-source-maps,4.0.1,5.0.6,Update available (5.0.6)
istanbul-reports,3.2.0,3.2.0,Up-to-date
node-preload,0.2.1,0.2.1,Up-to-date
p-map,3.0.0,7.0.3,Update available (7.0.3)
process-on-spawn,1.1.0,1.1.0,Up-to-date
rimraf,3.0.2,6.0.1,Update available (6.0.1)
spawn-wrap,2.0.0,2.0.0,Up-to-date
test-exclude,6.0.0,7.0.1,Update available (7.0.1)
pug-code-gen,3.0.3,3.0.3,Up-to-date
pug-filters,4.0.0,4.0.0,Up-to-date
pug-lexer,5.0.1,5.0.1,Up-to-date
pug-linker,4.0.0,4.0.0,Up-to-date
pug-load,3.0.0,3.0.0,Up-to-date
pug-parser,6.0.0,6.0.0,Up-to-date
pug-runtime,3.0.1,3.0.1,Up-to-date
pug-strip-comments,2.0.0,2.0.0,Up-to-date
commons,3.0.1,0.0.1-pre,Current version is newer than npm (0.0.1-pre)
fake-timers,13.0.5,0.1.2,Current version is newer than npm (0.1.2)
samsam,8.0.3,1.3.0,Current version is newer than npm (1.3.0)
type-detect,4.1.0,4.1.0,Up-to-date
eslint-formatter-pretty,4.1.0,6.0.1,Update available (6.0.1)
jest-diff,29.7.0,30.1.2,Update available (30.1.2)
meow,9.0.0,13.2.0,Update available (13.2.0)
type-fest,0.18.1,4.41.0,Update available (4.41.0)
yargs-parser,20.2.9,22.0.0,Update available (22.0.0)
path-exists,4.0.0,5.0.0,Update available (5.0.0)
read-pkg-up,7.0.1,11.0.0,Update available (11.0.0)
type-fest,0.8.1,4.41.0,Update available (4.41.0)
eslint-scope,3.7.7,8.4.0,Update available (8.4.0)
estree,1.0.8,,Not Found
json-schema,7.0.15,0.4.0,Current version is newer than npm (0.4.0)
ast,1.14.1,1.0.7,Current version is newer than npm (1.0.7)
wasm-edit,1.14.1,,Not Found
wasm-parser,1.14.1,,Not Found
acorn-import-phases,1.0.4,1.0.4,Up-to-date
acorn,8.15.0,8.15.0,Up-to-date
browserslist,4.25.4,4.25.4,Up-to-date
chrome-trace-event,1.0.4,1.0.4,Up-to-date
enhanced-resolve,5.18.3,5.18.3,Up-to-date
es-module-lexer,1.7.0,1.7.0,Up-to-date
events,3.3.0,3.3.0,Up-to-date
glob-to-regexp,0.4.1,0.4.1,Up-to-date
json-parse-even-better-errors,2.3.1,4.0.0,Update available (4.0.0)
loader-runner,4.3.0,4.3.0,Up-to-date
mime-types,2.1.35,3.0.1,Update available (3.0.1)
